Date,Open,High,Low,Close,Adj Close,Volume
2008-05-12,57.610001,59.340000,57.360001,58.169998,58.169998,1024600
2008-05-19,58.500000,58.709999,53.779999,54.270000,54.270000,987400
2008-05-26,54.459999,58.389999,53.630001,55.680000,55.680000,813200
2008-06-02,55.830002,55.830002,51.560001,51.709999,51.709999,1175800
2008-06-09,52.209999,52.599998,50.279999,51.820000,51.820000,1163500
2008-06-16,51.930000,54.419998,51.000000,53.049999,53.049999,1654900
2008-06-23,53.270000,54.680000,48.919998,48.939999,48.939999,1918100
2008-06-30,48.759998,50.110001,47.959999,49.369999,49.369999,1499300
2008-07-07,49.869999,51.709999,48.299999,51.270000,51.270000,1349500
2008-07-14,51.799999,54.450001,50.020000,53.680000,53.680000,1768400
2008-07-21,53.509998,65.489998,52.279999,65.169998,65.169998,2715900
2008-07-28,62.500000,64.860001,58.830002,62.930000,62.930000,2378600
2008-08-04,62.779999,64.559998,60.889999,64.080002,64.080002,1445200
2008-08-11,63.410000,66.209999,62.380001,64.519997,64.519997,1334200
2008-08-18,64.769997,64.989998,61.790001,63.180000,63.180000,1147900
2008-08-25,62.950001,63.779999,60.689999,62.330002,62.330002,1060600
2008-09-01,63.090000,63.919998,57.540001,58.630001,58.630001,1394100
2008-09-08,59.910000,61.700001,57.680000,59.910000,59.910000,884400
2008-09-15,58.540001,61.070000,54.549999,59.380001,59.380001,1795700
2008-09-22,58.830002,59.500000,54.400002,56.340000,56.340000,1439900
2008-09-29,55.540001,57.380001,52.970001,54.119999,54.119999,1484000
2008-10-06,53.000000,53.230000,37.709999,42.799999,42.799999,1820300
2008-10-13,44.549999,47.750000,40.299999,44.169998,44.169998,1282800
2008-10-20,44.759998,46.869999,39.299999,40.430000,40.430000,1090400
2008-10-27,39.820000,46.000000,36.750000,45.570000,45.570000,1768200
2008-11-03,44.820000,46.240002,39.939999,40.900002,40.900002,1000600
2008-11-10,41.650002,44.380001,38.490002,39.980000,39.980000,1438200
2008-11-17,39.740002,42.630001,33.900002,37.740002,37.740002,1590900
2008-11-24,38.290001,40.619999,36.279999,40.619999,40.619999,919600
2008-12-01,39.689999,40.090000,34.700001,38.520000,38.520000,1341300
2008-12-08,38.720001,41.799999,37.639999,39.180000,39.180000,1352900
2008-12-15,39.459999,43.700001,37.180000,41.529999,41.529999,1577200
2008-12-22,41.439999,41.439999,39.209999,40.720001,40.720001,649800
2008-12-29,40.630001,45.689999,39.490002,45.310001,45.310001,1084800
2009-01-05,45.500000,46.750000,41.400002,41.540001,41.540001,1683400
2009-01-12,41.599998,41.759998,35.529999,37.380001,37.380001,2065700
2009-01-19,36.970001,37.299999,26.330000,29.490000,29.490000,5427900
2009-01-26,29.000000,31.139999,27.650000,27.870001,27.870001,2851400
2009-02-02,27.559999,28.120001,26.540001,27.910000,27.910000,2889500
2009-02-09,27.690001,28.190001,25.980000,26.570000,26.570000,2355300
2009-02-16,26.010000,26.330000,23.719999,24.270000,24.270000,1766000
2009-02-23,24.549999,24.620001,22.070000,22.910000,22.910000,2396900
2009-03-02,22.799999,24.100000,21.650000,22.290001,22.290001,2784500
2009-03-09,22.299999,23.860001,21.700001,23.430000,23.430000,1591700
2009-03-16,23.840000,26.889999,23.209999,24.760000,24.760000,2503200
2009-03-23,25.420000,28.590000,25.290001,27.950001,27.950001,1773700
2009-03-30,27.280001,29.930000,26.000000,29.799999,29.799999,2176700
2009-04-06,29.490000,31.040001,28.940001,31.020000,31.020000,1146800
2009-04-13,30.580000,32.169998,29.620001,31.570000,31.570000,1084200
2009-04-20,30.959999,33.560001,30.010000,31.660000,31.660000,1940800
2009-04-27,31.100000,33.049999,30.690001,31.690001,31.690001,1517000
2009-05-04,32.189999,34.000000,31.379999,34.000000,34.000000,1594700
2009-05-11,33.060001,33.389999,29.650000,30.389999,30.389999,1268000
2009-05-18,30.700001,32.980000,30.700001,31.990000,31.990000,1303300
2009-05-25,31.680000,33.889999,31.680000,32.869999,32.869999,1332900
2009-06-01,33.080002,37.380001,33.080002,37.110001,37.110001,1423200
2009-06-08,36.740002,37.570000,35.290001,36.779999,36.779999,1034500
2009-06-15,36.099998,36.959999,34.959999,36.000000,36.000000,1523700
2009-06-22,35.470001,35.580002,32.709999,33.680000,33.680000,1862500
2009-06-29,33.480000,33.680000,32.000000,32.000000,32.000000,742900
2009-07-06,31.950001,32.450001,29.799999,30.150000,30.150000,904400
2009-07-13,30.190001,33.980000,29.480000,33.509998,33.509998,1003300
2009-07-20,33.779999,35.049999,33.200001,34.410000,34.410000,973400
2009-07-27,34.250000,34.250000,32.250000,32.730000,32.730000,828400
2009-08-03,32.939999,33.020000,31.410000,32.310001,32.310001,836800
2009-08-10,32.080002,33.040001,31.820000,32.250000,32.250000,743900
2009-08-17,31.730000,34.900002,31.430000,34.720001,34.720001,1218900
2009-08-24,34.910000,35.150002,33.619999,34.209999,34.209999,1504800
2009-08-31,34.000000,34.099998,31.850000,32.830002,32.830002,1363500
2009-09-07,33.320000,33.779999,32.869999,33.669998,33.669998,844800
2009-09-14,33.529999,36.200001,33.500000,36.070000,36.070000,1121500
2009-09-21,35.840000,36.310001,34.740002,35.150002,35.150002,994300
2009-09-28,35.439999,36.810001,34.520000,34.540001,34.540001,750100
2009-10-05,34.599998,37.400002,34.349998,37.360001,37.360001,686500
2009-10-12,37.610001,39.389999,36.459999,37.049999,37.049999,1262100
2009-10-19,37.230000,37.680000,35.160000,36.000000,36.000000,1900000
2009-10-26,36.049999,36.639999,33.869999,34.160000,34.160000,2117600
2009-11-02,34.349998,35.270000,33.200001,34.700001,34.700001,1483400
2009-11-09,34.910000,35.630001,34.250000,34.660000,34.660000,1620100
2009-11-16,34.910000,35.799999,33.709999,34.209999,34.209999,936800
2009-11-23,34.630001,35.160000,33.169998,33.660000,33.660000,459100
2009-11-30,33.610001,36.820000,32.950001,36.099998,36.099998,1386200
2009-12-07,36.139999,37.279999,35.730000,37.080002,37.080002,537700
2009-12-14,37.209999,39.070000,36.980000,38.470001,38.470001,1205400
